Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24010900010057RH6,5.21,19.37,5.2,19.33,5.32,22.44,8.39,5.3,5.41,22.41,8.41,5.29,5.4,10001.25,49.62,10003.75,49.63,31458.91,55.56,31446.54,50.12,PASS,4/10/2024 11:04:52 AM
ZJ24010900010133RH6,5.23,20.01,5.22,19.33,5.28,22.47,8.42,5.29,5.42,22.43,8.42,5.29,5.42,10001.25,49.61,10002.5,49.6,31483.67,55.57,31483.67,50.81,PASS,4/10/2024 11:05:20 AM
ZJ24010900010257RH6,5.22,19.36,5.21,20.02,5.31,22.45,8.37,5.29,5.43,22.44,8.42,5.29,5.42,10002.5,49.69,10003.75,49.59,31545.74,55.6,31545.74,49.49,PASS,4/10/2024 11:05:44 AM
ZJ24010900010247RH6,5.23,19.26,5.2,19.33,5.33,22.45,8.38,5.28,5.42,22.42,8.41,5.29,5.42,10003.75,49.61,10003.75,49.61,31483.67,55.57,31483.67,49.43,PASS,4/10/2024 11:06:14 AM
ZJ24010900010204RH6,5.22,19.33,5.2,19.33,5.3,22.46,8.39,5.28,5.43,22.42,8.42,5.29,5.42,10006.25,49.61,10003.75,49.61,31496.06,55.59,31483.67,49.43,PASS,4/10/2024 11:06:40 AM
ZJ24010900010203RH6,5.22,19.36,5.21,19.33,5.31,22.45,8.37,5.3,5.43,22.42,8.4,5.29,5.42,10002.5,49.62,10001.25,49.59,31483.67,55.57,31483.67,50.22,PASS,4/10/2024 11:07:03 AM
ZJ24010900010229RH6,5.23,19.36,5.21,19.32,5.31,22.46,8.39,5.29,5.44,22.41,8.41,5.29,5.42,10003.75,49.69,10002.5,49.59,31446.54,55.58,31446.54,49.92,PASS,4/10/2024 11:07:28 AM
ZJ24010900010202RH6,5.24,19.33,5.21,19.32,5.31,22.46,8.39,5.29,5.43,22.41,8.41,5.28,5.42,10005,49.67,10000,49.62,31483.67,55.57,31483.67,49.47,PASS,4/10/2024 11:07:59 AM
ZJ24010900010075RH6,5.22,19.32,5.2,19.31,5.29,22.46,8.4,5.29,5.44,22.41,8.43,5.29,5.43,10006.25,49.71,10005,49.64,31533.31,55.97,31533.31,50.81,PASS,4/10/2024 11:08:27 AM
ZJ24010900010248RH6,5.23,19.31,5.19,19.36,5.29,22.47,8.4,5.3,5.45,22.42,8.42,5.31,5.42,10005,49.7,10003.75,49.63,31471.28,55.98,31471.28,50.31,PASS,4/10/2024 11:08:48 AM
