Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ2309239001560RH6,118.995,5,5.00023,PASSED,PASSED,PASSED,PASSED,332,313.6,PASS,4/11/2024 7:14:50 AM
ZJ2309239001556RH6,117.421,5.00016,5.00003,PASSED,FAILED,PASSED,PASSED,-234.4,354.8, --- , 4.99954,5.00005,PASSED,PASSED,PASSED,PASSED,-214.4,319.2,FAIL,4/11/2024 7:18:46 AM
ZJ2309239001429RH6,117.776,5.00022,5.00069,PASSED,PASSED,PASSED,PASSED,358.4,327.2,PASS,4/11/2024 7:21:05 AM
ZJ2309239001643RH6,118.02,5.00034,4.99993,PASSED,PASSED,PASSED,PASSED,318.4,369.2,PASS,4/11/2024 7:22:29 AM
ZJ2309239001640RH6,117.529,5.00042,4.99971,PASSED,PASSED,PASSED,PASSED,310.4,341.6,PASS,4/11/2024 7:23:49 AM
ZJ2309239001657RH6,118.361,5.0001,5.00017,PASSED,PASSED,PASSED,PASSED,312,403.2, --- , 4.99972,4.99975,PASSED,PASSED,PASSED,PASSED,302.4,384.8,FAIL,4/11/2024 7:25:41 AM
ZJ2309239001501RH6,118.563,5.00016,4.99999,PASSED,PASSED,PASSED,PASSED,345.6,249.2,PASS,4/11/2024 7:27:08 AM
ZJ2309239001637RH6,118.158,5.00006,4.99964,PASSED,PASSED,PASSED,PASSED,308,367.6,PASS,4/11/2024 7:28:22 AM
ZJ2309239001669RH6,117.628,4.9996,5.00024,PASSED,PASSED,PASSED,PASSED,284,310.8,PASS,4/11/2024 7:29:33 AM
ZJ2309239001487RH6,118.84,5.00002,4.99993,PASSED,FAILED,PASSED,PASSED,304.8,345.6, --- , 4.9994,4.99987,PASSED,FAILED,PASSED,PASSED,325.6,348.8,FAIL,4/11/2024 7:31:24 AM
ZJ2309239001697RH6,117.522,4.99958,4.99962,PASSED,PASSED,PASSED,PASSED,327.2,358,PASS,4/11/2024 7:32:48 AM
ZJ2309239001468RH6,119.363,5,4.99961,PASSED,PASSED,PASSED,PASSED,323.2,350.4,PASS,4/11/2024 7:43:11 AM
ZJ2309239001515RH6,124.204,5.00044,5.00028,PASSED,PASSED,FAILING,FAILED,285.2,340.8, --- , 4.9999,4.99943,PASSED,PASSED,PASSED,PASSED,272.4,363.2,PASS,4/11/2024 7:46:00 AM
ZJ2309239001641RH6,118.711,5.00048,5.00057,PASSED,PASSED,PASSED,PASSED,344,372.8,PASS,4/11/2024 7:48:46 AM
ZJ2309239001522RH6,115.919,5.00014,5.00003,PASSED,PASSED,PASSED,PASSED,297.6,313.6,PASS,4/11/2024 7:50:06 AM
ZJ2309239001494RH6,115.902,4.99964,5.00008,PASSED,PASSED,PASSED,PASSED,332,320,PASS,4/11/2024 7:51:26 AM
ZJ2309239001507RH6,118.256,4.99968,5.00033,PASSED,PASSED,PASSED,PASSED,356.8,372.4,PASS,4/11/2024 7:52:47 AM
ZJ2309239001670RH6,117.505,4.99988,5.00035,PASSED,PASSED,PASSED,PASSED,321.6,362.4,PASS,4/11/2024 7:54:47 AM
ZJ2309239001690RH6,123.158,5.00068,5.0006,PASSED,PASSED,PASSED,PASSED,364.8,302,PASS,4/11/2024 7:56:15 AM
