Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ23092390011030RH6,119.108,4.99964,4.99964,PASSED,PASSED,PASSED,PASSED,189.6,314.4, --- , 5.00058,5.00012,PASSED,PASSED,PASSED,PASSED,195.2,296,FAIL,4/9/2024 7:12:47 AM
ZJ23092390011030RH6,119.837,5.00008,5.00017,PASSED,PASSED,PASSED,PASSED,178.8,316.8, --- , 5.00008,4.99974,PASSED,PASSED,PASSED,PASSED,200,343.2,FAIL,4/9/2024 7:15:16 AM
ZJ23092390011062RH6,118.01,5.00032,5.00039,PASSED,FAILED,PASSED,PASSED,189.2,360.4, --- , 4.99974,5.00048,PASSED,FAILED,PASSED,PASSED,191.2,338.4,FAIL,4/9/2024 7:17:51 AM
ZJ23092390011426RH6,119.874,5.0006,5.00016,PASSED,PASSED,PASSED,PASSED,-210.4,290, --- , 5.00042,5.00024,PASSED,FAILED,PASSED,PASSED,-172.8,269.2,FAIL,4/9/2024 7:22:01 AM
ZJ23092390011402RH6,118.268,5.00008,4.99959,PASSED,PASSED,PASSED,PASSED,-188,346.4, --- , 4.99996,5.00013,PASSED,PASSED,PASSED,PASSED,-217.6,338.4,FAIL,4/9/2024 7:24:12 AM
ZJ23092390011041RH6,119.031,5.00018,4.99984,PASSED,PASSED,PASSED,PASSED,-203.2,372.8, --- , 4.99968,4.99968,PASSED,FAILED,PASSED,PASSED,-200,331.6,FAIL,4/9/2024 7:26:24 AM
ZJ23092390011412RH6,118.631,4.99984,5.0004,PASSED,PASSED,PASSED,PASSED,312,-183.2, --- , 5.00056,5.00004,PASSED,PASSED,PASSED,PASSED,320,-182.4,FAIL,4/9/2024 7:28:24 AM
ZJ23092390011457RH6,119.526,5.00036,5.00012,PASSED,PASSED,PASSING,PASSED,300,-208.8, --- , 5.0007,5.00016,PASSED,PASSED,PASSED,PASSED,314.4,-172,FAIL,4/9/2024 7:30:30 AM
ZJ23092390011061RH6,119.477,5.00016,4.99948,PASSED,PASSED,PASSED,PASSED,331.2,-192.8, --- , 5.00006,4.9999,PASSED,PASSED,PASSED,PASSED,348.8,-170.4,FAIL,4/9/2024 7:33:11 AM
ZJ23092390011209RH6,119.968,5.00032,4.9995,PASSED,PASSED,PASSED,PASSED,216,-194.4, --- , 4.9998,4.99984,PASSED,FAILED,PASSED,PASSED,199.2,-161.6,FAIL,4/9/2024 7:35:19 AM
