Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24010910010193LF,119.774,4.99988,4.99963,PASSED,PASSED,PASSED,PASSED,364,349.6,PASS,4/19/2024 10:43:14 AM
ZJ24010910010199LF,118.59,5.00008,4.9996,PASSED,PASSED,PASSED,PASSED,348.4,290.8,PASS,4/19/2024 10:44:45 AM
ZJ24010910010198LF,118.633,5.0002,5.00067,PASSED,PASSED,PASSED,PASSED,344.8,345.6,PASS,4/19/2024 10:45:53 AM
ZJ24010910010086LF,118.796,4.9998,4.99977,PASSED,PASSED,PASSED,PASSED,353.6,331.2,PASS,4/19/2024 10:46:58 AM
ZJ24010910010086LF,118.459,4.99976,4.99973,PASSED,PASSED,PASSED,PASSED,363.2,340,PASS,4/19/2024 11:18:17 AM
ZJ24010910010068LF,118.949,5.00016,5.00069,PASSED,PASSED,PASSED,PASSED,355.2,353.6,PASS,4/19/2024 11:53:06 AM
ZJ24010910010336LF,118.655,4.99992,5.00029,PASSED,PASSED,PASSED,PASSED,273.2,318.4,PASS,4/19/2024 11:55:55 AM
ZJ24010910010025LF,119.832,4.99996,4.99981,PASSED,PASSED,PASSED,PASSED,361.6,314.4,PASS,4/19/2024 12:32:26 PM
ZJ24010910010052LF,119.395,4.9998,5.00015,PASSED,PASSED,PASSED,PASSED,328.8,364.8,PASS,4/19/2024 12:33:53 PM
ZJ24010910010335LF,118.891,5.00008,5.00011,PASSED,PASSED,PASSED,PASSED,290.4,340,PASS,4/19/2024 12:34:56 PM
ZJ24010910010069LF,118.912,5.00028,5.00019,PASSED,PASSED,PASSED,PASSED,312.8,369.6,PASS,4/19/2024 12:36:29 PM
ZJ24010910010334LF,119.446,4.99944,5.00061,PASSED,PASSED,PASSED,PASSED,300,344,PASS,4/19/2024 12:48:55 PM
ZJ24010910010111LF,118.706,5.00032,4.9996,PASSED,PASSED,PASSED,PASSED,354.4,320.4,PASS,4/19/2024 12:50:45 PM
ZJ24010910010054LF,118.665,5.00068,5.00008,PASSED,PASSED,PASSED,PASSED,348,349.6,PASS,4/19/2024 12:52:45 PM
ZJ24010910010110LF,119.113,5.00016,4.99999,PASSED,PASSED,PASSED,PASSED,328,224.8, --- , 4.99988,4.99988,PASSED,PASSED,PASSED,PASSED,350.4,236.4,PASS,4/19/2024 12:54:40 PM
ZJ24010910010053LF,118.767,4.99964,4.99957,PASSED,PASSED,PASSED,PASSED,304.8,361.6,PASS,4/19/2024 12:55:52 PM
ZJ24010910010177LF,118.793,4.99992,4.99983,PASSED,PASSED,PASSED,PASSED,295.2,311.2,PASS,4/19/2024 12:57:10 PM
ZJ24010910010026LF,118.864,4.99968,5.00017,PASSED,PASSED,PASSED,PASSED,345.2,-184.8, --- , 5.0002,5.00041,PASSED,PASSED,PASSED,PASSED,329.6,-165.6,FAIL,4/19/2024 12:59:04 PM
ZJ24010910010176LF,119.089,4.99976,4.99986,PASSED,PASSED,PASSED,PASSED,276.8,307.2,PASS,4/19/2024 1:00:49 PM
ZJ24010910010109LF,118.847,4.99972,5.00058,PASSED,PASSED,PASSED,PASSED,302.8,310.4,PASS,4/19/2024 1:01:57 PM
ZJ24010910010175LF,118.93,5.00048,5.00038,PASSED,PASSED,PASSED,PASSED,356,340,PASS,4/19/2024 1:03:15 PM
ZJ24010910010246LF,118.542,4.99936,4.99981,PASSED,PASSED,PASSED,PASSED,292.8,340.8,PASS,4/19/2024 1:04:58 PM
ZJ24010910010096LF,118.97,4.99996,5.00055,PASSED,PASSED,PASSED,PASSED,384.8,376.8, --- , 4.99984,5.0002,PASSED,PASSED,PASSED,PASSED,373.6,344.8,PASS,4/19/2024 1:10:00 PM
ZJ24010910010207LF,119.47,4.99956,4.99935,PASSED,PASSED,PASSED,PASSED,304,361.6,PASS,4/19/2024 1:11:27 PM
ZJ24010910010058LF,118.032,5.00004,4.99998,PASSED,PASSED,PASSED,PASSED,320,321.2,PASS,4/19/2024 1:12:36 PM
ZJ24010910010307LF,119.225,5.00044,4.99987,PASSED,PASSED,PASSED,PASSED,-204.8,326.4, --- , 4.99956,4.9999,PASSED,PASSED,PASSED,PASSED,-186.4,344.8,FAIL,4/19/2024 1:15:49 PM
ZJ24010910010095LF,118.681,5.00036,4.99971,PASSED,PASSED,PASSED,PASSED,314,349.6,PASS,4/19/2024 1:17:14 PM
ZJ24010910010239LF,117.935,4.99996,5.0001,PASSED,PASSED,PASSED,PASSED,330.4,336.8,PASS,4/19/2024 1:18:23 PM
ZJ24010910010245LF,118.334,4.99992,5.00042,PASSED,PASSED,PASSED,PASSED,352,356.8,PASS,4/19/2024 1:19:41 PM
ZJ24010910010240LF,118.315,5.00008,4.99945,PASSED,PASSED,PASSED,PASSED,251.2,356,PASS,4/19/2024 1:20:55 PM
ZJ24010910010238LF,118.555,4.99988,4.9997,PASSED,PASSED,PASSED,PASSED,341.6,370,PASS,4/19/2024 1:22:01 PM
ZJ24010910010094LF,118.41,4.9996,5.00012,PASSED,PASSED,PASSED,PASSED,301.6,342.4,PASS,4/19/2024 1:36:40 PM
ZJ24010910010244LF,118.774,4.99992,5.00067,PASSED,PASSED,PASSED,PASSED,362.4,357.2,PASS,4/19/2024 1:37:44 PM
ZJ24010910010059LF,118.81,4.99972,5.00023,PASSED,PASSED,PASSED,PASSED,206.4,343.2, --- , 4.9998,5.00009,PASSED,PASSED,PASSED,PASSED,188,358.4,FAIL,4/19/2024 1:39:31 PM
ZJ24010910010060LF,118.695,5.00052,4.9996,PASSED,PASSED,PASSED,PASSED,300,319.6,PASS,4/19/2024 1:41:03 PM
ZJ24010910010309LF,119.164,5.00008,5.00042,PASSED,PASSED,PASSED,PASSED,332,366.4,PASS,4/19/2024 1:42:12 PM
ZJ24010910010205LF,119.101,5,5.00015,PASSED,PASSED,FAILED,FAILED,336,318.4, --- , 5.0004,4.99989,PASSED,PASSED,PASSED,PASSED,352.8,326.4,PASS,4/19/2024 1:44:56 PM
ZJ24010910010206LF,118.525,5,5.00027,PASSED,PASSED,PASSED,PASSED,328,385.6, --- , 4.99948,4.99978,PASSED,PASSED,PASSED,PASSED,322.4,389.6,FAIL,4/19/2024 1:46:43 PM
ZJ24010910010233LF,120.461,5,5.00019,PASSED,PASSED,PASSED,PASSED,317.6,401.6, --- , 5.00016,4.99994,PASSED,PASSED,PASSED,PASSED,304,381.6,FAIL,4/19/2024 2:23:52 PM
ZJ24010910010234LF,119.989,4.99976,5.00023,PASSED,PASSED,PASSED,PASSED,330.4,371.2,PASS,4/19/2024 2:25:16 PM
ZJ24010910010315LF,119.791,5.00048,4.99969,PASSED,PASSED,PASSED,PASSED,339.2,335.6,PASS,4/19/2024 2:26:27 PM
ZJ24010910010077LF,119.86,4.99944,5.00013,PASSED,PASSED,PASSED,PASSED,344.8,333.6,PASS,4/19/2024 2:27:32 PM
ZJ24010910010313LF,121.367,4.99968,5.00009,PASSED,PASSED,PASSED,PASSED,323.2,321.6,PASS,4/19/2024 2:28:42 PM
ZJ24010910010301LF,120.586,4.99976,4.99944,PASSED,PASSED,PASSED,PASSED,278.4,280.4,PASS,4/19/2024 2:29:56 PM
ZJ24010910010302LF,120.075,5,4.99989,PASSED,PASSED,PASSING,PASSED,310.4,350.4,PASS,4/19/2024 2:31:05 PM
ZJ24010910010191LF,120.668,5.00048,5.00064,PASSED,PASSED,PASSED,PASSED,280,304,PASS,4/19/2024 2:32:26 PM
ZJ24010910010192LF,121.163,5.00048,4.99984,PASSED,PASSED,PASSED,PASSED,227.2,344,PASS,4/19/2024 2:33:46 PM
ZJ24010910010076LF,119.855,5.00004,4.99994,PASSED,PASSED,PASSED,PASSED,288.8,356,PASS,4/19/2024 2:34:46 PM
ZJ24010910010314LF,120.383,4.99992,4.99946,PASSED,PASSED,PASSED,PASSED,268,340,PASS,4/19/2024 2:40:35 PM
ZJ24010910010078LF,119.901,5.00032,5.00039,PASSED,PASSED,PASSED,PASSED,325.6,352.8,PASS,4/19/2024 2:41:44 PM
ZJ24010910010258LF,119.96,4.9998,5.00005,PASSED,PASSED,PASSED,PASSED,344.8,362.4,PASS,4/19/2024 2:43:03 PM
ZJ24010910010232LF,120.661,5.00056,5.00018,PASSED,PASSED,PASSED,PASSED,352.8,294.4,PASS,4/19/2024 2:44:50 PM
ZJ24010910010256LF,120.089,5.0006,4.99999,PASSED,PASSED,PASSED,PASSED,317.2,349.6,PASS,4/19/2024 2:45:54 PM
ZJ24010910010190LF,120.827,4.99996,5.00008,PASSED,PASSED,PASSED,PASSED,258.4,305.6,PASS,4/19/2024 2:47:07 PM
ZJ24010910010303LF,120.783,5.00044,5.0005,PASSED,PASSED,PASSED,PASSED,-194.4,291.2, --- , 5.0006,5,PASSED,PASSED,FAILED,FAILED,-204.4,324,FAIL,4/19/2024 2:48:54 PM
ZJ24010910010160LF,120.469,5.00016,4.99945,PASSED,PASSED,PASSED,PASSED,357.6,340,PASS,4/19/2024 2:51:25 PM
ZJ24010910010194LF,120.856,5.00024,5.00012,PASSED,PASSED,PASSED,PASSED,341.6,368,PASS,4/19/2024 2:52:37 PM
ZJ24010910010196LF,120.85,5.00028,5.00039,PASSED,PASSED,FAILED,FAILED,373.6,379.6, --- , 4.99968,5.00019,PASSED,PASSED,PASSED,PASSED,367.2,340.8,PASS,4/19/2024 2:55:19 PM
ZJ24010910010104LF,120.041,5.00072,4.99941,PASSED,PASSED,PASSED,PASSED,331.6,312,PASS,4/19/2024 2:56:35 PM
ZJ24010910010105LF,120.101,5.00028,5.00005,PASSED,PASSED,FAILED,FAILED,345.6,359.2, --- , 5.00004,4.99981,PASSED,PASSED,PASSED,PASSED,326.8,346.4,PASS,4/19/2024 2:58:25 PM
ZJ24010910010200LF,120.092,5.00068,5.00022,PASSED,PASSED,PASSED,PASSED,300,380.8, --- , 5.0004,4.99989,PASSED,PASSED,PASSED,PASSED,308.8,348,PASS,4/19/2024 3:00:22 PM
ZJ24010910010330LF,119.731,4.99996,4.99984,PASSED,PASSED,PASSED,PASSED,339.2,358.4,PASS,4/19/2024 3:01:34 PM
ZJ24010910010329LF,120.539,5.00052,4.99964,PASSED,PASSED,PASSED,PASSED,-183.2,356.8, --- , 5.00044,5.0001,PASSED,PASSED,PASSED,PASSED,-173.6,343.2,FAIL,4/19/2024 3:03:24 PM
ZJ24010910010162LF,119.557,5.00004,5.00007,PASSED,PASSED,PASSED,PASSED,-165.6,347.2, --- , 5.00004,4.99957,PASSED,PASSED,PASSED,PASSED,-197.6,383.6,FAIL,4/19/2024 3:05:21 PM
ZJ24010910010197LF,120.827,5.00016,4.99972,PASSED,PASSED,FAILED,FAILED,260.8,370.8, --- , 5.00024,4.99978,PASSED,PASSED,PASSED,PASSED,268,355.2,PASS,4/19/2024 3:07:35 PM
ZJ24010910010328LF,118.449,5.0002,5.00042,PASSED,PASSED,PASSED,PASSED,349.6,362.8,PASS,4/19/2024 3:09:09 PM
ZJ24010910010144LF,120.243,5.00036,4.99982,PASSED,PASSED,PASSED,PASSED,312,342.4,PASS,4/19/2024 3:10:48 PM
ZJ24010910010144LF,120.592,4.9998,5.00013,PASSED,PASSED,PASSED,PASSED,294.4,343.6,PASS,4/19/2024 3:14:50 PM
ZJ24010910010251LF,120.495,4.99964,5.0004,PASSED,PASSED,PASSED,PASSED,325.6,320.8,PASS,4/19/2024 3:18:11 PM
ZJ24010910010189LF,121.167,5.00012,4.99984,PASSED,PASSED,FAILED,FAILED,232,340.8, --- , 4.99988,5.00012,PASSED,PASSED,FAILED,FAILED,222.4,344,FAIL,4/19/2024 3:20:11 PM
ZJ24010910010188LF,119.944,5.00028,4.99967,PASSED,PASSED,PASSED,PASSED,196.8,267.2, --- , 4.9996,5.00012,PASSED,PASSED,PASSED,PASSED,208.8,285.6,FAIL,4/19/2024 3:23:03 PM
ZJ24010910010142LF,119.989,5.00004,4.99983,PASSED,PASSED,PASSED,PASSED,229.6,332.4,PASS,4/19/2024 3:25:25 PM
ZJ24010910010187LF,119.902,5.00032,4.9999,PASSED,PASSED,FAILED,FAILED,347.2,339.6, --- , 4.99972,4.99961,PASSED,PASSED,PASSED,PASSED,359.2,350,PASS,4/19/2024 3:28:43 PM
ZJ24010910010142LF,120.399,5.00012,4.99953,PASSED,PASSED,PASSED,PASSED,229.6,373.6,PASS,4/19/2024 3:29:52 PM
ZJ24010910010252LF,119.443,5.00068,5.00012,PASSED,PASSED,PASSED,PASSED,315.2,332.8,PASS,4/19/2024 3:31:02 PM
ZJ24010910010165LF,120.278,4.9998,5.00013,PASSED,PASSED,PASSED,PASSED,310.4,325.2,PASS,4/19/2024 3:33:00 PM
ZJ24010910010163LF,120.994,4.99992,4.99966,PASSED,PASSED,PASSED,PASSED,288.8,326.8,PASS,4/19/2024 3:34:14 PM
ZJ24010910010323LF,119.199,5.00048,4.99975,PASSED,PASSED,PASSED,PASSED,368,292,PASS,4/19/2024 3:38:00 PM
ZJ24010910010324LF,120.319,5.00036,5.00002,PASSED,PASSED,PASSED,PASSED,215.2,367.6, --- , 5,5.00032,PASSED,PASSED,PASSED,PASSED,208.8,343.6,FAIL,4/19/2024 3:39:56 PM
ZJ24010910010322LF,119.457,4.99972,4.99971,PASSED,PASSED,PASSED,PASSED,288,328.4,PASS,4/19/2024 3:41:06 PM
ZJ24010910010250LF,121.328,5.00052,4.9999,PASSED,PASSED,PASSED,PASSED,341.6,306.4,PASS,4/19/2024 3:42:49 PM
ZJ24010910010143LF,119.752,5,5.00033,PASSED,PASSED,PASSED,PASSED,215.2,338, --- , 5.00032,5.00004,PASSED,PASSED,PASSED,PASSED,245.6,336.8,PASS,4/19/2024 3:44:33 PM
ZJ24010910010164LF,120.259,4.99968,4.99968,PASSED,PASSED,PASSED,PASSED,265.6,352.8,PASS,4/19/2024 3:45:59 PM
ZJ24010910010305LF,120.776,5.00012,4.99963,PASSED,PASSED,PASSED,PASSED,313.2,342.4,PASS,4/19/2024 3:47:32 PM
ZJ24010910010249LF,120.643,4.99992,4.99989,PASSED,PASSED,FAILED,FAILED,355.2,335.6, --- , 4.99988,4.99973,PASSED,PASSED,PASSED,PASSED,367.6,338,PASS,4/19/2024 3:49:23 PM
ZJ24010910010319LF,120.04,4.9994,4.99972,PASSED,PASSED,FAILED,FAILED,226.4,328.4, --- , 5.00036,5.00038,PASSED,PASSED,PASSED,PASSED,213.6,328,FAIL,4/19/2024 3:51:09 PM
ZJ24010910010247LF,119.892,5.00008,5.00051,PASSED,PASSED,PASSED,PASSED,333.6,386.8, --- , 5.00036,5.00021,PASSED,PASSED,PASSED,PASSED,350.8,383.6,FAIL,4/19/2024 3:53:00 PM
ZJ24010910010174LF,119.764,4.99976,4.99999,PASSED,PASSED,PASSED,PASSED,336.8,338.4,PASS,4/19/2024 3:54:08 PM
ZJ24010910010173LF,120.609,5.00036,4.99999,PASSED,PASSED,PASSED,PASSED,328,330.8,PASS,4/19/2024 3:55:14 PM
ZJ24010910010306LF,120.257,4.99948,5.0002,PASSED,PASSED,PASSED,PASSED,272,348.8,PASS,4/19/2024 3:56:32 PM
ZJ24010910010224LF,119.731,5.00004,4.99986,PASSED,PASSED,FAILED,FAILED,308.8,343.2, --- , 5.00028,4.99959,PASSED,PASSED,PASSED,PASSED,320.8,336,PASS,4/19/2024 4:00:13 PM
ZJ24010910010320LF,499.715,,NA , NA , NA, NA, NA, NA, NA, NA,FAIL,4/19/2024 4:00:57 PM
ZJ24010910010320LF,499.728,,NA , NA , NA, NA, NA, NA, NA, NA,FAIL,4/19/2024 4:01:27 PM
ZJ24010910010304LF,119.691,4.99992,5.0002,PASSED,PASSED,PASSED,PASSED,-184,328.8, --- , 4.99996,4.99972,PASSED,PASSED,PASSED,PASSED,-228,345.6,FAIL,4/19/2024 4:03:43 PM
ZJ24010910010225LF,118.948,4.99988,4.99981,PASSED,PASSED,PASSED,PASSED,293.6,384.8, --- , 4.9998,4.99994,PASSED,PASSED,PASSED,PASSED,293.6,377.6,FAIL,4/19/2024 4:05:26 PM
ZJ24010910010311LF,120.363,5.00012,4.99979,PASSED,PASSED,PASSED,PASSED,299.2,334.4,PASS,4/19/2024 4:06:35 PM
ZJ24010910010312LF,119.994,4.99984,5.00042,PASSED,PASSED,PASSED,PASSED,-193.6,308.8, --- , 5.00012,5.0006,PASSED,PASSED,PASSED,PASSED,-214.4,329.6,FAIL,4/19/2024 4:08:56 PM
ZJ24010910010248LF,120.261,4.99972,5.00018,PASSED,PASSED,PASSED,PASSED,316,388, --- , 4.99976,4.99958,PASSED,PASSED,PASSED,PASSED,331.2,365.6,PASS,4/19/2024 4:10:45 PM
ZJ24010910010310LF,119.761,5.00036,5.00009,PASSED,PASSED,PASSED,PASSED,330.4,281.6,PASS,4/19/2024 4:11:54 PM
ZJ24010910010172LF,121.201,4.99988,5.00013,PASSED,PASSED,PASSED,PASSED,231.2,324,PASS,4/19/2024 4:16:19 PM
ZJ24010910010222LF,119.56,5.00028,5.00029,PASSED,PASSED,PASSED,PASSED,250.4,276.8,PASS,4/19/2024 4:17:34 PM
ZJ24010910010214LF,120.518,4.99946,4.99944,PASSED,PASSED,PASSED,PASSED,312,334.4,PASS,4/19/2024 4:18:41 PM
ZJ24010910010243LF,120.677,4.9994,5.00043,PASSED,PASSED,PASSED,PASSED,350.4,406.4, --- , 4.99968,4.99954,PASSED,PASSED,PASSED,PASSED,350.4,368.8,PASS,4/19/2024 4:20:33 PM
ZJ24010910010241LF,120.19,4.99956,5.00014,PASSED,PASSED,PASSED,PASSED,338.8,380.4, --- , 4.9994,5.00017,PASSED,PASSED,PASSED,PASSED,326.4,382.4,FAIL,4/19/2024 4:22:40 PM
ZJ24010910010040LF,119.713,5.00024,4.99984,PASSED,PASSED,PASSED,PASSED,205.6,386.8, --- , 5.0004,5.00005,PASSED,PASSED,PASSED,PASSED,212,373.6,FAIL,4/19/2024 4:24:41 PM
