Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24010900010250RH6,80,99.99,80,100,100,100,80,100,80,100,80,99.99,80,1220.78,99.62,1220.78,99.62,1220.78,99.62,∞,NaN,FAIL,4/9/2024 8:41:17 AM
ZJ24010900010250RH6,5.26,19.31,5.24,19.34,5.32,22.42,8.4,5.3,5.45,22.39,8.42,5.33,5.44,10001.25,49.61,10001.25,49.62,31545.74,55.99,31545.74,49.45,PASS,4/9/2024 8:51:20 AM
ZJ24010900010070RH6,5.25,19.33,5.25,19.34,5.33,22.42,8.4,5.31,5.46,22.38,8.41,5.32,5.43,10003.75,49.68,10006.25,49.68,31558.19,55.58,31558.19,49.35,PASS,4/9/2024 9:06:47 AM
ZJ24010900010071RH6,5.24,19.29,5.23,19.27,5.34,22.41,8.38,5.3,5.45,22.38,8.41,5.32,5.44,10000,49.62,10003.75,49.67,31458.91,55.6,31458.91,49.78,PASS,4/9/2024 9:07:23 AM
ZJ24010900010291RH6,5.26,19.35,5.25,19.31,5.32,22.42,8.4,5.32,5.44,22.38,8.42,5.32,5.43,10001.25,49.64,10001.25,49.62,31384.86,55.59,31372.55,50.51,PASS,4/9/2024 9:07:54 AM
ZJ24010900010252RH6,5.27,19.3,5.23,19.32,5.35,22.42,8.41,5.32,5.44,22.4,8.44,5.31,5.44,10001.25,49.62,10001.25,49.64,31520.88,55.99,31520.88,49.57,PASS,4/9/2024 9:08:14 AM
ZJ24010900010251RH6,5.25,19.26,5.23,19.33,5.33,22.42,8.42,5.32,5.47,22.39,8.42,5.33,5.43,10001.25,49.66,10001.25,49.62,31446.54,55.58,31446.54,48.98,PASS,4/9/2024 9:08:38 AM
ZJ24010900010004RH6,5.26,19.29,5.25,19.34,5.32,22.42,8.4,5.31,5.44,22.38,8.41,5.33,5.43,10003.75,49.61,10005,49.65,31533.31,55.97,31533.31,50.26,PASS,4/9/2024 9:09:02 AM
ZJ24010900010092RH6,5.26,19.34,5.25,19.29,5.33,22.43,8.41,5.33,5.46,22.38,8.4,5.32,5.44,10002.5,49.62,10005,49.66,31570.64,55.96,31570.64,50.63,PASS,4/9/2024 9:09:59 AM
ZJ24010900010290RH6,5.26,19.3,5.25,19.3,5.35,22.42,8.41,5.32,5.47,22.39,8.43,5.32,5.46,10001.25,49.66,10003.75,49.62,31483.67,55.57,31483.67,48.29,PASS,4/9/2024 9:10:52 AM
ZJ24010900010265RH6,5.26,19.29,5.24,19.28,5.34,22.41,8.4,5.31,5.47,22.38,8.43,5.32,5.45,10003.75,49.61,10001.25,49.61,31458.91,55.6,31458.91,50.53,PASS,4/9/2024 9:11:18 AM
ZJ24010900010266RH6,5.27,19.3,5.26,19.34,5.33,22.44,8.41,5.3,5.45,22.37,8.41,5.32,5.45,10006.25,49.64,10002.5,49.66,31496.06,55.55,31496.06,50.79,PASS,4/9/2024 9:11:57 AM
ZJ24010900010224RH6,5.24,19.26,5.23,19.3,5.32,22.42,8.4,5.3,5.44,22.38,8.41,5.33,5.43,10005,49.62,10002.5,49.62,31595.58,55.57,31595.58,50.51,PASS,4/9/2024 9:12:29 AM
ZJ24010900010223RH6,5.26,19.3,5.24,19.34,5.34,22.43,8.41,5.31,5.44,22.39,8.41,5.33,5.45,10006.25,49.69,10005,49.69,31670.63,55.58,31670.63,49.45,PASS,4/9/2024 9:12:50 AM
ZJ24010900010043RH6,5.25,19.31,5.25,19.25,5.31,22.4,8.39,5.31,5.46,22.38,8.41,5.31,5.44,10005,49.66,10002.5,49.62,31434.18,55.56,31434.18,50.81,PASS,4/9/2024 9:13:14 AM
ZJ24010900010105RH6,5.25,19.31,5.26,19.27,5.36,22.43,8.4,5.31,5.44,22.38,8.41,5.31,5.43,10005,49.62,10005,49.64,31558.19,55.98,31558.19,50.14,PASS,4/9/2024 9:13:40 AM
ZJ24010900010289RH6,5.27,19.31,5.24,19.33,5.33,22.43,8.41,5.31,5.46,22.38,8.43,5.31,5.42,10001.25,49.59,10003.75,49.63,31533.31,55.58,31533.31,50.49,PASS,4/9/2024 9:14:07 AM
ZJ24010900010005RH6,5.26,19.33,5.25,19.3,5.33,22.43,8.39,5.32,5.45,22.39,8.42,5.31,5.43,10002.5,49.61,10002.5,49.6,31508.47,55.93,31508.47,50.26,PASS,4/9/2024 9:14:47 AM
ZJ24010900010045RH6,5.25,19.32,5.24,19.27,5.34,22.41,8.39,5.32,5.45,22.39,8.42,5.31,5.44,10003.75,49.66,10005,49.62,31508.47,55.57,31508.47,50.61,PASS,4/9/2024 9:15:11 AM
ZJ24010900010267RH6,5.26,19.32,5.24,19.31,5.32,22.42,8.39,5.31,5.45,22.39,8.42,5.33,5.45,10001.25,49.64,10003.75,49.66,31496.06,55.55,31496.06,50.12,PASS,4/9/2024 9:15:34 AM
ZJ24010900010044RH6,5.26,19.94,5.24,19.27,5.33,22.43,8.39,5.31,5.46,22.39,8.41,5.31,5.44,10003.75,49.63,10003.75,49.68,31483.67,55.57,31483.67,50.53,PASS,4/9/2024 9:16:04 AM
ZJ24010900010072RH6,5.26,19.34,5.27,19.28,5.32,22.43,8.4,5.31,5.45,22.37,8.41,5.31,5.45,10002.5,49.66,10001.25,49.54,31558.19,55.58,31545.74,50.59,PASS,4/9/2024 9:17:45 AM
ZJ24010900010104RH6,5.27,19.27,5.22,19.3,5.33,22.43,8.4,5.32,5.46,22.39,8.43,5.32,5.45,10003.75,49.63,10005,49.64,31520.88,55.59,31520.88,49.84,PASS,4/9/2024 9:18:14 AM
ZJ24010900010006RH6,5.26,19.3,5.23,19.29,5.33,22.42,8.39,5.3,5.45,22.39,8.42,5.32,5.44,10003.75,49.62,10003.75,49.61,31434.18,55.56,31434.18,49.74,PASS,4/9/2024 9:18:41 AM
ZJ24010900010103RH6,5.25,19.33,5.24,19.32,5.34,22.42,8.39,5.31,5.45,22.39,8.42,5.31,5.44,10003.75,49.62,10003.75,49.62,31545.74,55.56,31533.31,51.08,PASS,4/9/2024 9:19:10 AM
ZJ24010900010067RH6,5.26,19.32,5.21,19.28,5.34,22.42,8.39,5.31,5.43,22.38,8.42,5.31,5.43,10003.75,49.69,10006.25,49.61,31471.28,55.98,31471.28,50.04,PASS,4/9/2024 9:19:50 AM
ZJ24010900010069RH6,5.25,19.31,5.25,19.29,5.33,22.43,8.42,5.33,5.46,22.4,8.43,5.31,5.43,10001.25,49.64,10003.75,49.67,31471.28,55.55,31471.28,49.33,PASS,4/9/2024 9:20:11 AM
ZJ24010900010183RH6,5.24,19.32,5.23,19.28,5.32,22.41,8.39,5.31,5.43,22.39,8.41,5.3,5.44,10003.75,49.63,10002.5,49.64,31558.19,55.58,31558.19,49.63,PASS,4/9/2024 9:20:33 AM
ZJ24010900010182RH6,5.26,19.29,5.22,19.33,5.33,22.41,8.4,5.32,5.45,22.39,8.44,5.33,5.44,10003.75,49.66,10001.25,49.58,31471.28,55.59,31471.28,50.43,PASS,4/9/2024 9:20:53 AM
ZJ24010900010031RH6,5.26,19.37,5.25,19.33,5.33,22.43,8.41,5.31,5.44,22.4,8.42,5.32,5.43,10003.75,49.62,10006.25,49.66,31570.64,55.6,31570.64,50.51,PASS,4/9/2024 9:21:14 AM
